,student_id,checkpoint_no,duration,confidence,year,percentage_checkpoint,no_attempt,average_attempt,office_hours,is_passed
2648,93335,19,3.0,7,3,0.7083333333333334,0,1.3125,0,1
2649,84281,19,,4,3,0.75,0,1.1176470588235294,0,1
2650,52262,19,-1.0,-1,-1,0.7083333333333334,0,1.75,3,1
2651,60320,19,3.0,6,1,0.625,0,1.2857142857142858,0,1
2652,27689,19,3.0,6,2,0.7916666666666666,0,1.4444444444444444,0,1
2653,75538,19,1.0,8,1,0.7083333333333334,0,1.5625,0,1
2654,80427,19,3.0,5,2,0.625,0,1.7857142857142858,0,1
2655,22902,19,2.0,8,1,0.8333333333333334,2,2.1,1,1
2656,30574,19,4.0,10,2,0.625,0,1.1428571428571428,0,1
2657,48825,19,,7,1,0.5416666666666666,0,1.0,0,1
2658,93570,19,-1.0,-1,-1,0.75,1,1.3529411764705883,2,1
2659,90795,19,-1.0,-1,-1,0.625,1,1.9285714285714286,0,1
2660,20020,19,-1.0,-1,-1,0.7916666666666666,1,1.1111111111111112,2,1
2661,14313,19,2.0,8,2,0.5416666666666666,1,1.2307692307692308,0,0
2662,88774,19,1.0,9,1,0.6666666666666666,1,1.25,0,0
2663,59566,19,-1.0,-1,-1,0.7083333333333334,1,1.1875,1,1
2664,88774,19,1.0,9,1,0.7083333333333334,2,1.25,0,1
2665,93871,20,2.0,2,2,0.8333333333333334,0,1.1578947368421053,0,1
2666,95538,20,-1.0,-1,-1,0.8333333333333334,0,1.105263157894737,0,1
2667,93570,20,-1.0,-1,-1,0.7916666666666666,0,1.3888888888888888,2,1
2668,31208,20,-1.0,-1,-1,0.8333333333333334,0,1.7894736842105263,1,1
2669,31846,20,1.0,8,1,0.7916666666666666,0,1.3333333333333333,2,1
2670,80450,20,1.0,7,4,0.7083333333333334,0,1.1176470588235294,0,0
2671,20020,20,-1.0,-1,-1,0.7916666666666666,0,1.1578947368421053,2,0
2672,87728,20,5.0,7,2,0.75,0,1.1666666666666667,0,0
2673,72329,20,3.0,7,2,0.8333333333333334,0,1.8421052631578947,0,1
2674,80427,20,3.0,5,2,0.6666666666666666,0,1.7333333333333334,0,1
2675,52262,20,-1.0,-1,-1,0.7083333333333334,0,1.7058823529411764,3,0
2676,96812,20,-1.0,-1,-1,0.4166666666666667,0,1.3,0,0
2677,14313,20,2.0,8,2,0.5416666666666666,0,1.2307692307692308,0,0
2678,82536,20,4.0,8,3,0.75,0,1.2222222222222223,0,0
2679,80726,20,3.0,7,1,0.3333333333333333,0,1.2857142857142858,0,1
